What is the masculine form of the nationality 'Chinoise'?,Chinois
Which country is 'l'Allemagne' in English?,Germany
What is the nationality for a male from the United States (États-Unis)?,Américain
What is the nationality for a female from Belgium (Belgique)?,Belge
What is the nationality for a male from Japan (Japon)?,Japonais
How do you form the feminine of a French nationality ending in '-ien'?,Double the 'n' and add 'e' (-ienne).
Translate 'I am looking for shoes' into French.,Je cherche des chaussures.
How do you ask 'How much does it cost?' in French?,Combien ça coûte ?
Translate the question 'Quel type de chaussures ?' into English.,What type of shoes?
"In a store, how would a seller ask 'Can I help you?' in French?",Je peux vous aider ?
What are the three colors of the French flag (le drapeau tricolore)?,"Blue, white, and red (bleu, blanc, et rouge)."
What animal is a traditional symbol of France?,The rooster (le coq).
Which river flows through Paris according to the text?,The Seine (la Seine).
Translate 'the morning' into French.,le matin
Translate 'the afternoon' into French.,l'après-midi
Translate 'the evening' into French.,le soir
How do you say 'noon' (12:00 p.m.) in French?,midi
How do you say 'midnight' (12:00 a.m.) in French?,minuit
Translate 'quarter past' when telling time in French.,et quart
Translate 'half past' when telling time in French.,et demie
Translate 'quarter to' when telling time in French.,moins le quart
How do you say 'It is 8:00' in French?,Il est huit heures.
How do you say 'It is 4:30' in French?,Il est quatre heures et demie.
How do you say 'It is 2:15' in French?,Il est deux heures et quart.
How do you say 'It is 5:45' in French?,Il est six heures moins le quart.
Translate the greeting 'Enchanté(e)' into English.,Nice to meet you (or Delighted).
How do you say 'See you tomorrow' in French?,À demain
How do you say 'See you later' in French?,À plus tard (or À plus)
Translate the preposition 'à côté de' into English.,next to (or beside)
Translate the preposition 'devant' into English.,in front of
Translate the preposition 'derrière' into English.,behind
Translate the preposition 'sous' into English.,under
Translate the preposition 'sur' into English.,on
Translate the preposition 'chez' into English.,at the home/business of
Translate the city place 'la pharmacie' into English.,the pharmacy
Translate the city place 'la bibliothèque' into English.,the library
What is the French word for 'a book'?,un livre
What is the French word for 'a pen'?,un stylo
What is the French word for 'a computer'?,un ordinateur
Translate 'the kitchen' into French.,la cuisine
Translate 'the bathroom' into French.,la salle de bain
What is the French word for 'the tea'?,le thé
What is the French word for 'the bread'?,le pain
What is the French word for 'spring'?,le printemps
What is the French word for 'winter'?,l'hiver
Which demonstrative adjective is used for a masculine singular noun starting with a vowel?,cet
Which demonstrative adjective is used for a feminine singular noun?,cette
Which demonstrative adjective is used for plural nouns (both masculine and feminine)?,ces
Translate 'This book is interesting' using the correct demonstrative adjective.,Ce livre est intéressant.
Translate 'These flowers are pretty' using the correct demonstrative adjective.,Ces fleurs sont jolies.
What is the feminine singular form of the interrogative adjective 'quel'?,quelle
What is the masculine plural form of the interrogative adjective 'quel'?,quels
Translate 'What time is it?' into French using an interrogative adjective.,Quelle heure est-il ?
What is the reflexive pronoun for 'je'?,me (or m')
What is the reflexive pronoun for 'nous'?,nous
What is the reflexive pronoun for 'vous'?,vous
Translate the reflexive verb 'se réveiller' into English.,to wake up
Translate the reflexive verb 'se brosser les dents' into English.,to brush one's teeth
Translate the reflexive verb 'se coucher' into English.,to go to bed
Conjugate 'se doucher' for the pronoun 'tu'.,tu te douches
Conjugate 's'habiller' for the pronoun 'je'.,je m'habille
Translate the irregular verb 'aller' (to go) for 'je'.,vais
Conjugate 'faire' (to do/make) for 'nous'.,faisons
Conjugate 'faire' (to do/make) for 'vous'.,faites
Conjugate 'venir' (to come) for 'ils/elles'.,viennent
Conjugate 'vouloir' (to want) for 'je/tu'.,veux
Conjugate 'pouvoir' (can/to be able) for 'je/tu'.,peux
What is the feminine form of the adjective 'grand'?,grande
What is the feminine form of the adjective 'beau'?,belle
What is the feminine form of the adjective 'nouveau'?,nouvelle
What is the masculine plural of 'vieux'?,vieux
What is the feminine singular of 'gentil'?,gentille
What is the feminine singular of 'blanc'?,blanche
Translate 'a gift' into French.,un cadeau
Translate 'jewelry' into French.,un bijou
"In the letter template, what closing phrase is used for 'See you soon'?",À bientôt
"In Dialogue 4, what symptom does the patient report?",A headache (mal à la tête) and fever (de la fièvre).
"According to 'Nationalités.pdf', what is the official language of Italy?",l'italien
Which two official languages are listed for Cameroon?,English and French (l'anglais et le français).
What are the official languages of Belgium according to the text?,"French, German, and Dutch."
How do you conjugate 's'appeler' (reflexive) for the pronoun 'ils'?,s'appellent
Translate 'I take my breakfast' into French.,Je prends mon petit-déjeuner.
What is the French verb for 'to finish'?,finir
What is the French verb for 'to wait'?,attendre
"What are the standard 'IR' verb endings for 'nous', 'vous', and 'ils'?","-issons, -issez, -issent"
